m49_code,iso_a3,country_name,is_group
0,W00,World,true
4,AFG,Afghanistan,false
8,ALB,Albania,false
10,ATA,Antarctica,false
12,DZA,Algeria,false
16,ASM,American Samoa,false
20,AND,Andorra,false
24,AGO,Angola,false
28,ATG,Antigua and Barbuda,false
31,AZE,Azerbaijan,false
32,ARG,Argentina,false
36,AUS,Australia,false
40,AUT,Austria,false
44,BHS,Bahamas,false
48,BHR,Bahrain,false
50,BGD,Bangladesh,false
51,ARM,Armenia,false
52,BRB,Barbados,false
56,BEL,Belgium,false
58,BEL,Belgium-Luxembourg (...1998),false
60,BMU,Bermuda,false
64,BTN,Bhutan,false
68,BOL,Bolivia (Plurinational State of),false
70,BIH,Bosnia Herzegovina,false
72,BWA,Botswana,false
74,BVT,Bouvet Island,false
76,BRA,Brazil,false
80,ATB,Br. Antarctic Terr.,false
84,BLZ,Belize,false
86,IOT,Br. Indian Ocean Terr.,false
90,SLB,Solomon Isds,false
92,VGB,Br. Virgin Isds,false
96,BRN,Brunei Darussalam,false
100,BGR,Bulgaria,false
104,MMR,Myanmar,false
108,BDI,Burundi,false
112,BLR,Belarus,false
116,KHM,Cambodia,false
120,CMR,Cameroon,false
124,CAN,Canada,false
129,A49,"Caribbean, nes",false
132,CPV,Cabo Verde,false
136,CYM,Cayman Isds,false
140,CAF,Central African Rep.,false
144,LKA,Sri Lanka,false
148,TCD,Chad,false
152,CHL,Chile,false
156,CHN,China,false
158,TWN,"Taiwan, Province of China",false
162,CXR,Christmas Isds,false
166,CCK,Cocos Isds,false
170,COL,Colombia,false
174,COM,Comoros,false
175,MYT,Mayotte (Overseas France),false
178,COG,Congo,false
180,COD,Dem. Rep. of the Congo,false
184,COK,Cook Isds,false
188,CRI,Costa Rica,false
191,HRV,Croatia,false
192,CUB,Cuba,false
196,CYP,Cyprus,false
200,CSK,Czechoslovakia (...1992),false
203,CZE,Czechia,false
204,BEN,Benin,false
208,DNK,Denmark,false
212,DMA,Dominica,false
214,DOM,Dominican Rep.,false
218,ECU,Ecuador,false
221,E29,"Eastern Europe, nes",false
222,SLV,El Salvador,false
226,GNQ,Equatorial Guinea,false
230,ETH,Ethiopia (...1992),false
231,ETH,Ethiopia,false
232,ERI,Eritrea,false
233,EST,Estonia,false
234,FRO,Faroe Isds,false
238,FLK,Falkland Isds (Malvinas),false
239,SGS,South Georgia and the South Sandwich Islands,false
242,FJI,Fiji,false
246,FIN,Finland,false
248,ALA,Åland Islands ,false
250,FRA,Metropolitan France,false
251,FRA,France,false
254,GUF,French Guiana (Overseas France),false
258,PYF,French Polynesia,false
260,ATF,Fr. South Antarctic Terr.,false
262,DJI,Djibouti,false
266,GAB,Gabon,false
268,GEO,Georgia,false
270,GMB,Gambia,false
275,PSE,State of Palestine,false
276,DEU,Germany,false
278,DDR,Dem. Rep. of Germany (...1990),false
280,DEU,Fed. Rep. of Germany (...1990),false
288,GHA,Ghana,false
290,F49,"Northern Africa, nes",false
292,GIB,Gibraltar,false
296,KIR,Kiribati,false
300,GRC,Greece,false
304,GRL,Greenland,false
308,GRD,Grenada,false
312,GLP,Guadeloupe (Overseas France),false
316,GUM,Guam,false
320,GTM,Guatemala,false
324,GIN,Guinea,false
328,GUY,Guyana,false
332,HTI,Haiti,false
334,HMD,Heard Island and McDonald Islands,false
336,VAT,Holy See (Vatican City State),false
340,HND,Honduras,false
344,HKG,"China, Hong Kong SAR",false
348,HUN,Hungary,false
352,ISL,Iceland,false
356,IND,India (...1974),false
360,IDN,Indonesia,false
364,IRN,Iran,false
368,IRQ,Iraq,false
372,IRL,Ireland,false
376,ISR,Israel,false
380,ITA,Italy,false
384,CIV,Côte d'Ivoire,false
388,JAM,Jamaica,false
392,JPN,Japan,false
398,KAZ,Kazakhstan,false
400,JOR,Jordan,false
404,KEN,Kenya,false
408,PRK,Dem. People's Rep. of Korea,false
410,KOR,Rep. of Korea,false
412,_KS,Kosovo,false
414,KWT,Kuwait,false
417,KGZ,Kyrgyzstan,false
418,LAO,Lao People's Dem. Rep.,false
422,LBN,Lebanon,false
426,LSO,Lesotho,false
428,LVA,Latvia,false
430,LBR,Liberia,false
434,LBY,Libya,false
438,LIE,Liechtenstein ,false
440,LTU,Lithuania,false
442,LUX,Luxembourg,false
446,MAC,"China, Macao SAR",false
450,MDG,Madagascar,false
454,MWI,Malawi,false
457,_SK,Sarawak,false
458,MYS,Malaysia,false
459,_PM,Peninsula Malaysia (...1963),false
461,_SH,Sabah (...1963),false
462,MDV,Maldives,false
466,MLI,Mali,false
470,MLT,Malta,false
471,R91,"CACM, nes",false
472,_AC,"Africa CAMEU region, nes",false
473,A79,"LAIA, nes",false
474,MTQ,Martinique (Overseas France),false
478,MRT,Mauritania,false
480,MUS,Mauritius,false
484,MEX,Mexico,false
488,_MI,Midway Islands,false
490,S19,"Other Asia, nes",false
492,MCO,"Europe EU, nes",false
496,MNG,Mongolia,false
498,MDA,Rep. of Moldova,false
499,MNE,Montenegro,false
500,MSR,Montserrat,false
504,MAR,Morocco,false
508,MOZ,Mozambique,false
512,OMN,Oman,false
516,NAM,Namibia,false
520,NRU,Nauru,false
524,NPL,Nepal,false
527,O19,"Oceania, nes",false
528,NLD,Netherlands,false
530,ANT,Netherlands Antilles (...2010),false
531,CUW,Curaçao,false
532,ANT,Netherlands Antilles and Aruba (...1985),false
533,ABW,Aruba,false
534,SXM,Saint Maarten,false
535,BES,Bonaire,false
536,NTZ,Neutral Zone,false
540,NCL,New Caledonia,false
548,VUT,Vanuatu,false
554,NZL,New Zealand,false
558,NIC,Nicaragua,false
562,NER,Niger,false
566,NGA,Nigeria,false
568,E19,"Other Europe, nes",false
570,NIU,Niue,false
574,NFK,Norfolk Isds,false
577,F19,"Other Africa, nes",false
578,NOR,"Norway, excluding Svalbard and Jan Mayen",false
579,NOR,Norway,false
580,MNP,N. Mariana Isds,false
581,UMI,United States Minor Outlying Islands,false
582,PCI,Pacific Isds (...1991),false
583,FSM,FS Micronesia,false
584,MHL,Marshall Isds,false
585,PLW,Palau,false
