reference_date,brl_per_cny
2004-12-01,0.3211
2005-01-01,0.32581
2005-02-01,0.314248
2005-03-01,0.32691
2005-04-01,0.31181
2005-05-01,0.296404
2005-06-01,0.291922
2005-07-01,0.288797
2005-08-01,0.291398
2005-09-01,0.284327
2005-10-01,0.279229
2005-11-01,0.273772
2005-12-01,0.28234
2006-01-01,0.281955
2006-02-01,0.268306
2006-03-01,0.267993
2006-04-01,0.265798
2006-05-01,0.271455
2006-06-01,0.281466
2006-07-01,0.273929
2006-08-01,0.27056
2006-09-01,0.273178
2006-10-01,0.272046
2006-11-01,0.273733
2006-12-01,0.27495
2007-01-01,0.274841
2007-02-01,0.270125
2007-03-01,0.27006
2007-04-01,0.263162
2007-05-01,0.258496
2007-06-01,0.253226
2007-07-01,0.248354
2007-08-01,0.259199
2007-09-01,0.253144
2007-10-01,0.240338
2007-11-01,0.237876
2007-12-01,0.24256
2008-01-01,0.245048
2008-02-01,0.241474
2008-03-01,0.240748
2008-04-01,0.241334
2008-05-01,0.238091
2008-06-01,0.234747
2008-07-01,0.232791
2008-08-01,0.234977
2008-09-01,0.261695
2008-10-01,0.320038
2008-11-01,0.333215
2008-12-01,0.350128
2009-01-01,0.338154
2009-02-01,0.339651
2009-03-01,0.338725
2009-04-01,0.32402
2009-05-01,0.303163
2009-06-01,0.285969
2009-07-01,0.282875
2009-08-01,0.269933
2009-09-01,0.266766
2009-10-01,0.254798
2009-11-01,0.253156
2009-12-01,0.256274
2010-01-01,0.260581
2010-02-01,0.270012
2010-03-01,0.261647
2010-04-01,0.257367
2010-05-01,0.26528
2010-06-01,0.264992
2010-07-01,0.26117
2010-08-01,0.259265
2010-09-01,0.2551
2010-10-01,0.252289
2010-11-01,0.257397
2010-12-01,0.254769
2011-01-01,0.253781
2011-02-01,0.253388
2011-03-01,0.252663
2011-04-01,0.242806
2011-05-01,0.248227
2011-06-01,0.24529
2011-07-01,0.2424
2011-08-01,0.249172
2011-09-01,0.27235
2011-10-01,0.278868
2011-11-01,0.281082
2011-12-01,0.289388
2012-01-01,0.283396
2012-02-01,0.272823
2012-03-01,0.284105
2012-04-01,0.294316
2012-05-01,0.313859
2012-06-01,0.322032
2012-07-01,0.318246
2012-08-01,0.319146
2012-09-01,0.32072
2012-10-01,0.323553
2012-11-01,0.331399
2012-12-01,0.333271
2013-01-01,0.326417
2013-02-01,0.31644
2013-03-01,0.318802
2013-04-01,0.323477
2013-05-01,0.331383
2013-06-01,0.353668
2013-07-01,0.366902
2013-08-01,0.382546
2013-09-01,0.371554
2013-10-01,0.358783
2013-11-01,0.376543
2013-12-01,0.385998
2014-01-01,0.393799
2014-02-01,0.392308
2014-03-01,0.377213
2014-04-01,0.358958
2014-05-01,0.356206
2014-06-01,0.358774
2014-07-01,0.358704
2014-08-01,0.368673
2014-09-01,0.37999
2014-10-01,0.399537
2014-11-01,0.416555
2014-12-01,0.425753
2015-01-01,0.423846
2015-02-01,0.45065
2015-03-01,0.503084
2015-04-01,0.490636
2015-05-01,0.493199
2015-06-01,0.502161
2015-07-01,0.518615
2015-08-01,0.553967
2015-09-01,0.611037
2015-10-01,0.611142
2015-11-01,0.59356
2015-12-01,0.600377
2016-01-01,0.616594
2016-02-01,0.604987
2016-03-01,0.570512
2016-04-01,0.54958
2016-05-01,0.541321
2016-06-01,0.521056
2016-07-01,0.490637
2016-08-01,0.482739
2016-09-01,0.486986
